Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
1,No,Champagne,Champagne Blitz,Champagne,Champagne,Mixer,4,Ounce,http://www.drinksmixer.com/cat/2406/
232,No,Cordial,Apple Strudel,Rumple Minze,Apple Cider,Mixer,0,Fill,https://www.barnonedrinks.com/drinks/a/apple-strudel-271.html
3,Yes,Cognac,Bavarian Blizzard,Ansac,Ansac Cognac,Spirit,1,Ounce,https://www.barnonedrinks.com/drinks/b/bavarian-blizzard-474.html
4,Yes,Cognac,Bavarian Blizzard,Ansac,Rumple Minze,Cordial,1,Ounce,https://www.barnonedrinks.com/drinks/b/bavarian-blizzard-474.html
5,Yes,Cognac,Bavarian Blizzard,Ansac,Coffee,Mixer,0,Fill,https://www.barnonedrinks.com/drinks/b/bavarian-blizzard-474.html
465,No,Tequila,Casa Repo Spritz,Casamigos,Martini Rosato,Vermouth,1.75,Ounce,https://www.casamigos.com/en-us/cocktails/casa-repo-spritz/
7,No,Cognac,Bermuda Highball,Ansac,Ansac Cognac,Spirit,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
8,No,Cognac,Bermuda Highball,Ansac,Gin,Spirit,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
9,No,Cognac,Bermuda Highball,Ansac,Club Soda,Soda,3,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
10,No,Cognac,Bermuda Highball,Ansac,Orange Bitters,Bitters,2,Dashes,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
11,No,Cognac,Between the Sheets,Ansac,Silver Rum,Spirit,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
12,No,Cognac,Between the Sheets,Ansac,Ansac Cognac,Spirit,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
13,No,Cognac,Between the Sheets,Ansac,Lemon Juice,Fruit,0.5,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
14,No,Cognac,Between the Sheets,Ansac,Cointreau,Cordial,0.75,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
15,No,Cognac,Canton Shandy,Ansac,Simple Syrup,Syrup,10,Milliliters,http://kuletos.com.au/cocktails/How-To-Make-A/Canton-Shandy
16,No,Cognac,Canton Shandy,Ansac,Ansac Cognac,Spirit,30,Milliliters,http://kuletos.com.au/cocktails/How-To-Make-A/Canton-Shandy
17,No,Cognac,Canton Shandy,Ansac,Ginger Beer,Mixer,35,Milliliters,http://kuletos.com.au/cocktails/How-To-Make-A/Canton-Shandy
18,No,Cognac,Canton Shandy,Ansac,Lemon Juice,Fruit,10,Milliliters,http://kuletos.com.au/cocktails/How-To-Make-A/Canton-Shandy
257,No,Gin,Fall Cider Punch,Beefeater,Apple Cider,Mixer,1.5,Ounce,https://www.beefeatergin.com/en-US/cocktails/fall-cider-gin-punch
20,No,Cognac,Chocolate Mint Alexander,Ansac,Ansac Cognac,Spirit,1.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
177,No,Cordial,End of My Ropes,Frangelico,Crème de Banana,Cordial,2,Teaspoon,http://www.drinksmixer.com/cat/2384/
606,No,Vodka,Honeydew Cooler,Grey Goose,Crème de Banana,Cordial,15,Milliliters,https://www.greygoose.com/en-gl/cocktails/grey-goose-vodka/honeydew-cooler.html
126,No,Cordial,Frozen Andes Mint,Crème de Menthe,Crème de Cacao,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2406/
24,No,Cognac,Chocolate Mint Alexander,Ansac,Half and half,Mixer,0.75,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
25,No,Cognac,Chocolate Mint Alexander,Ansac,Egg Whites,Topping,0.5,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
26,No,Cognac,Cognac Alexander,Ansac,Ansac Cognac,Spirit,1.5,Ounce,ansac-cognac.fr/cocktails/
27,No,Cognac,Cognac Alexander,Ansac,Nutmeg,Spice,1,Dashes,ansac-cognac.fr/cocktails/
28,No,Cognac,Cognac Alexander,Ansac,Heavy Cream,Mixer,0.66,Ounce,ansac-cognac.fr/cocktails/
634,No,Vodka,The Sequel,Grey Goose,Crème de Cacao,Cordial,0.5,Ounce,https://www.greygoose.com/en-gl/cocktails/grey-goose-vodka/the-sequel.html
30,No,Cognac,East India,Ansac,Grenadine,Mixer,0.18,Ounce,ansac-cognac.fr/cocktails/
31,No,Cognac,East India,Ansac,Pineapple Juice,Juice,0.66,Ounce,ansac-cognac.fr/cocktails/
32,No,Cognac,East India,Ansac,Ansac Cognac,Cordial,1.5,Ounce,ansac-cognac.fr/cocktails/
33,No,Cognac,East India,Ansac,Orange Curacao,Cordial,0.18,Ounce,ansac-cognac.fr/cocktails/
34,No,Cognac,East India,Ansac,Angostura Bitters,Bitters,1,Dashes,ansac-cognac.fr/cocktails/
35,Yes,Cognac,Marina Cay,Ansac,Maple Syrup,Syrup,0.75,Ounce,https://www.winemag.com/2012/10/19/cognac-straight-or-mixed/
36,Yes,Cognac,Marina Cay,Ansac,Ansac Cognac,Spirit,1.5,Ounce,https://www.winemag.com/2012/10/19/cognac-straight-or-mixed/
37,Yes,Cognac,Marina Cay,Ansac,Lime Juice,Fruit,1,Ounce,https://www.winemag.com/2012/10/19/cognac-straight-or-mixed/
38,Yes,Cognac,Marina Cay,Ansac,Campari,Cordial,0.25,Ounce,https://www.winemag.com/2012/10/19/cognac-straight-or-mixed/
39,No,Cognac,Sazerac,Ansac,Ansac Cognac,Spirit,2,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
40,No,Cognac,Sazerac,Ansac,Absinthe,Cordial,0.25,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
41,No,Cognac,Sazerac,Ansac,Peychauds Bitters,Bitters,3,Dashes,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
42,No,Cognac,Springtime in Cognac,Ansac,Rose,Wine,0,Fill,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
43,No,Cognac,Springtime in Cognac,Ansac,Honey,Syrup,0.5,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
44,No,Cognac,Springtime in Cognac,Ansac,Ansac Cognac,Spirit,1.5,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
45,No,Cognac,Springtime in Cognac,Ansac,Lemon Juice,Fruit,0.5,Ounce,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
46,No,Cognac,Springtime in Cognac,Ansac,Strawberries,Fruit,1,Strawberries,https://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/
47,No,Cognac,Stinger,Ansac,Ansac Cognac,Spirit,1.33,Ounce,ansac-cognac.fr/cocktails/
48,No,Cognac,Stinger,Ansac,Mint Leaves,Herb,1,Leaves,ansac-cognac.fr/cocktails/
21,No,Cognac,Chocolate Mint Alexander,Ansac,Crème de Cacao (Dark),Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
50,Yes,Cordial,Americano,Campari,Campari,Cordial,1,Ounce,https://www.campari.com/our-cocktails
111,No,Cordial,The Ribbon,Campari,Vermouth di Torino,Vermouth,0.66,Ounce,https://www.diffordsguide.com/cocktails/recipe/4124/the-ribbon
52,Yes,Cordial,Americano,Campari,Soda,Soda,1,Splash,https://www.campari.com/our-cocktails
53,Yes,Cordial,Boulevardier,Campari,Campari,Cordial,1,Ounce,https://www.campari.com/our-cocktails
86,No,Cordial,Kingston Negroni,Campari,Sweet Vermouth,Vermouth,1,Ounce,https://www.townandcountrymag.com/leisure/drinks/g32500345/campari-cocktails/
55,Yes,Cordial,Boulevardier,Campari,Whisky,Spirit,1.5,Ounce,https://www.campari.com/our-cocktails
56,Yes,Cordial,Campari and Tonic,Campari,Campari,Cordial,1.5,Ounce,https://www.campari.com/our-cocktails
